Age,Year,Type of Registration,All ages  
All ages  ,1986,All,661018
19 and under,1986,All,57406
20 - 24,1986,All,192064
25 - 29,1986,All,229035
30 - 34,1986,All,129487
35-39,1986,All,45465
40 - 44,1986,All,7033
45 - 49,1986,All,528
All ages  ,1987,All,681511
19 and under,1987,All,57545
20 - 24,1987,All,193232
25 - 29,1987,All,238929
30 - 34,1987,All,136558
35-39,1987,All,46604
40 - 44,1987,All,8112
45 - 49,1987,All,531
All ages  ,1988,All,693577
19 and under,1988,All,58741
20 - 24,1988,All,193726
25 - 29,1988,All,243460
30 - 34,1988,All,140974
35-39,1988,All,47649
40 - 44,1988,All,8520
45 - 49,1988,All,507
All ages  ,1989,All,687725
19 and under,1989,All,55543
20 - 24,1989,All,185239
25 - 29,1989,All,242822
30 - 34,1989,All,145320
35-39,1989,All,49465
40 - 44,1989,All,8845
45 - 49,1989,All,491
All ages  ,1990,All,706140
19 and under,1990,All,55541
20 - 24,1990,All,180136
25 - 29,1990,All,252577
30 - 34,1990,All,156264
35-39,1990,All,51905
40 - 44,1990,All,9220
45 - 49,1990,All,497
All ages  ,1991,All,699217
19 and under,1991,All,52396
20 - 24,1991,All,173356
25 - 29,1991,All,248727
30 - 34,1991,All,161259
35-39,1991,All,53644
40 - 44,1991,All,9316
45 - 49,1991,All,519
All ages  ,1992,All,689656
19 and under,1992,All,47861
20 - 24,1992,All,163311
25 - 29,1992,All,244798
30 - 34,1992,All,166839
35-39,1992,All,56650
40 - 44,1992,All,9696
45 - 49,1992,All,501
All ages  ,1993,All,673467
19 and under,1993,All,45121
20 - 24,1993,All,151975
25 - 29,1993,All,235961
30 - 34,1993,All,171061
35-39,1993,All,58824
40 - 44,1993,All,9986
45 - 49,1993,All,539
All ages  ,1994,All,664726
19 and under,1994,All,42026
20 - 24,1994,All,140240
25 - 29,1994,All,229102
30 - 34,1994,All,179568
35-39,1994,All,63061
40 - 44,1994,All,10241
45 - 49,1994,All,488
All ages  ,1995,All,648138
19 and under,1995,All,41938
20 - 24,1995,All,130744
25 - 29,1995,All,217418
30 - 34,1995,All,181202
35-39,1995,All,65517
40 - 44,1995,All,10779
45 - 49,1995,All,540
All ages  ,1996,All,649485
19 and under,1996,All,44667
20 - 24,1996,All,125732
25 - 29,1996,All,211103
30 - 34,1996,All,186377
35-39,1996,All,69503
40 - 44,1996,All,11516
45 - 49,1996,All,587
All ages  ,1997,All,643095
19 and under,1997,All,46372
20 - 24,1997,All,118589
25 - 29,1997,All,202792
30 - 34,1997,All,187528
35-39,1997,All,74900
40 - 44,1997,All,12332
45 - 49,1997,All,582
All ages  ,1998,All,635901
19 and under,1998,All,48285
20 - 24,1998,All,113537
25 - 29,1998,All,193144
30 - 34,1998,All,188499
35-39,1998,All,78881
40 - 44,1998,All,12980
45 - 49,1998,All,575
All ages  ,1999,All,621872
19 and under,1999,All,48375
20 - 24,1999,All,110722
25 - 29,1999,All,181931
30 - 34,1999,All,185311
35-39,1999,All,81281
40 - 44,1999,All,13617
45 - 49,1999,All,635
All ages  ,2000,All,604441
19 and under,2000,All,45846
20 - 24,2000,All,107741
25 - 29,2000,All,170701
30 - 34,2000,All,180113
35-39,2000,All,84974
40 - 44,2000,All,14403
45 - 49,2000,All,663
All ages  ,2001,All,594634
19 and under,2001,All,44189
20 - 24,2001,All,108844
25 - 29,2001,All,159926
30 - 34,2001,All,178920
35-39,2001,All,86495
40 - 44,2001,All,15499
45 - 49,2001,All,761
All ages  ,2002,All,596122
19 and under,2002,All,43467
20 - 24,2002,All,110959
25 - 29,2002,All,153379
30 - 34,2002,All,180532
35-39,2002,All,90449
40 - 44,2002,All,16441
45 - 49,2002,All,895
All ages  ,2003,All,621469
19 and under,2003,All,44236
20 - 24,2003,All,116622
25 - 29,2003,All,156931
30 - 34,2003,All,187214
35-39,2003,All,97386
40 - 44,2003,All,18205
45 - 49,2003,All,875
All ages  ,2004,All,639721
19 and under,2004,All,45094
20 - 24,2004,All,121072
25 - 29,2004,All,159984
30 - 34,2004,All,190550
35-39,2004,All,102228
40 - 44,2004,All,19884
45 - 49,2004,All,909
All ages  ,2005,All,645835
19 and under,2005,All,44830
20 - 24,2005,All,122145
25 - 29,2005,All,164348
30 - 34,2005,All,188153
35-39,2005,All,104113
40 - 44,2005,All,21155
45 - 49,2005,All,1091
All ages  ,2006,All,669601
19 and under,2006,All,45509
20 - 24,2006,All,127828
25 - 29,2006,All,172642
30 - 34,2006,All,189407
35-39,2006,All,110509
40 - 44,2006,All,22512
45 - 49,2006,All,1194
All ages  ,2007,All,690013
19 and under,2007,All,44805
20 - 24,2007,All,130784
25 - 29,2007,All,182570
30 - 34,2007,All,191124
35-39,2007,All,115380
40 - 44,2007,All,24041
45 - 49,2007,All,1309
All ages  ,2008,All,708711
19 and under,2008,All,44691
20 - 24,2008,All,135971
25 - 29,2008,All,192960
30 - 34,2008,All,192450
35-39,2008,All,116220
40 - 44,2008,All,24991
45 - 49,2008,All,1428
All ages  ,2009,All,706248
19 and under,2009,All,43243
20 - 24,2009,All,136012
25 - 29,2009,All,194129
30 - 34,2009,All,191600
35-39,2009,All,114288
40 - 44,2009,All,25357
45 - 49,2009,All,1619
All ages  ,2010,All,723165
19 and under,2010,All,40591
20 - 24,2010,All,137312
25 - 29,2010,All,199233
30 - 34,2010,All,202457
35-39,2010,All,115841
40 - 44,2010,All,25973
45 - 49,2010,All,1758
